,title,location,price,region,property,building,land_area,util_area,payment
487,Prodej domu 135 m² s pozemkem 382 m²,"Starokdyňská, Kdyně, okres Domažlice",2 890 000,plzensky-kraj,osobní,cihlová,382 m,,total
488,Prodej domu 135 m² s pozemkem 382 m²,"Starokdyňská, Kdyně, okres Domažlice",2 890 000,plzensky-kraj,osobní,cihlová,,135 m,total
489,Prodej domu 135 m² s pozemkem 382 m²,"Starokdyňská, Kdyně, okres Domažlice",2 890 000,plzensky-kraj,osobní,cihlová,,,total
490,Prodej bytu 2+1 56 m²,"Na Výsluní, Kralovice, okres Plzeň-sever",2 200 000,plzensky-kraj,osobní,panelová,,56 m,total
491,Prodej bytu 2+1 56 m²,"Na Výsluní, Kralovice, okres Plzeň-sever",2 200 000,plzensky-kraj,osobní,panelová,,,total
492,Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000,plzensky-kraj,osobní,cihlová,1154 m,246 m,total
493,Prodej stavebního pozemku 1 917 m²,"Planá - Svahy, okres Tachov",1 621 000,plzensky-kraj,,osobní,,,total
494,Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000,plzensky-kraj,osobní,cihlová,1154 m,,total
495,Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000,plzensky-kraj,osobní,cihlová,,246 m,total
496,Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000,plzensky-kraj,osobní,cihlová,,,total
497,Prodej bytu 2+kk 105 m²,"Kotíkovská, Plzeň - Severní Předměstí",7 300 000,plzensky-kraj,dobrý stav,cihlová,,105 m,total
498,Prodej bytu 2+kk 105 m²,"Kotíkovská, Plzeň - Severní Předměstí",7 300 000,plzensky-kraj,dobrý stav,cihlová,,,total
499,Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000,plzensky-kraj,osobní,smíšená,912 m,79 m,total
500,Pronájem bytu 1+1 50 m²,"Americká, Plzeň - Jižní Předměstí",10 000,plzensky-kraj,osobní,cihlová,,50 m,monthly
501,Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000,plzensky-kraj,osobní,smíšená,912 m,,total
502,Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000,plzensky-kraj,osobní,smíšená,,79 m,total
503,Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000,plzensky-kraj,osobní,smíšená,,,total
504,Pronájem bytu 1+1 50 m²,"Americká, Plzeň - Jižní Předměstí",10 000,plzensky-kraj,osobní,cihlová,,,monthly
505,Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000,plzensky-kraj,řadový,cihlová,2094 m,255 m,total
506,Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000,plzensky-kraj,řadový,cihlová,2094 m,,total
507,Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000,plzensky-kraj,řadový,cihlová,,255 m,total
508,Prodej domu 255 m² s pozemkem 2 094 m²,"Politických vězňů, Mirošov, okres Rokycany",6 050 000,plzensky-kraj,řadový,cihlová,,,total
509,Prodej louky 3 003 m²,"Tymákov, okres Plzeň-město",1 570 000,plzensky-kraj,,3003 m,,,total
510,Prodej chaty/chalupy s pozemkem 256 m²,"Újezd nade Mží, okres Plzeň-sever",790 000,plzensky-kraj,samota,dřevěná,256 m,,total
511,Prodej chaty/chalupy s pozemkem 256 m²,"Újezd nade Mží, okres Plzeň-sever",790 000,plzensky-kraj,samota,dřevěná,,,total
512,Pronájem skladovacích prostor 3 900 m²,"Kyšice, okres Plzeň-město",,plzensky-kraj,skladovací prostory,smíšená,,3900 m,unknown
513,Pronájem skladovacích prostor 3 900 m²,"Kyšice, okres Plzeň-město",,plzensky-kraj,skladovací prostory,smíšená,,,unknown
514,Prodej bytu 2+kk 47 m²,"Žežická, Ústí nad Labem - Krásné Březno",1 280 000,ustecky-kraj,dobrý stav,panelová,,47 m,total
515,Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000,plzensky-kraj,osobní,cihlová,3719 m,118 m,total
516,Prodej bytu 2+kk 47 m²,"Žežická, Ústí nad Labem - Krásné Březno",1 280 000,ustecky-kraj,dobrý stav,panelová,,,total
517,Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000,plzensky-kraj,osobní,cihlová,3719 m,,total
518,Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000,plzensky-kraj,osobní,cihlová,,118 m,total
519,Prodej domu 118 m² s pozemkem 3 719 m²,"Dnešice, okres Plzeň-Jih",6 790 000,plzensky-kraj,osobní,cihlová,,,total
520,Prodej bytu 3+1 68 m²,"Vroutek - Mlýnce, okres Louny",1 790 000,ustecky-kraj,osobní,smíšená,,68 m,total
521,Pronájem kanceláře 30 m²,"Kopeckého sady, Plzeň - Vnitřní Město",14 900,plzensky-kraj,kanceláře,cihlová,,30 m,monthly
522,Prodej bytu 3+1 68 m²,"Vroutek - Mlýnce, okres Louny",1 790 000,ustecky-kraj,osobní,smíšená,,,total
523,Pronájem kanceláře 30 m²,"Kopeckého sady, Plzeň - Vnitřní Město",14 900,plzensky-kraj,kanceláře,cihlová,,,monthly
524,Prodej komerčního pozemku 32 759 m²,"Očihov, okres Louny",,ustecky-kraj,,32759 m,,,unknown
525,Prodej komerčního pozemku 2 268 m²,"Okružní, Most",3 538 000,ustecky-kraj,,2268 m,,,total
526,Prodej pole 14 779 m²,"Obrnice, okres Most",810 000,ustecky-kraj,,14779 m,,,total
