title,location,price,region,property,building,land_area,util_area
Pronájem bytu 2+1 75 m²,"Mariánská, Česká Lípa",10 000 Kč/měsíc,liberecky-kraj,osobní,cihlová,,
Prodej domu 260 m² s pozemkem 126 m²,"Mariánská, Česká Lípa",Cena na vyžádání,liberecky-kraj,řadový,cihlová,126 m,260 m
Prodej stavebního pozemku 5 824 m²,"Karlovice, okres Semily",3 599 000 Kč,liberecky-kraj,,osobní,,
Prodej domu 260 m² s pozemkem 126 m²,"Mariánská, Česká Lípa",Cena na vyžádání,liberecky-kraj,řadový,cihlová,126 m,
Prodej domu 260 m² s pozemkem 126 m²,"Mariánská, Česká Lípa",Cena na vyžádání,liberecky-kraj,řadový,cihlová,,260 m
Prodej domu 260 m² s pozemkem 126 m²,"Mariánská, Česká Lípa",Cena na vyžádání,liberecky-kraj,řadový,cihlová,,
Prodej domu 130 m² s pozemkem 155 m²,"P. Bezruče, Hejnice, okres Liberec",Cena na vyžádání,liberecky-kraj,řadový,smíšená,155 m,130 m
Pronájem bytu 2+kk 48 m²,"Lidická, Hrádek nad Nisou, okres Liberec",6 900 Kč/měsíc,liberecky-kraj,dobrý stav,cihlová,,48 m
Prodej stavebního pozemku 1 889 m²,"Holany, okres Česká Lípa",3 400 200 Kč,liberecky-kraj,veřejná kanalizace,předměstí,,
Prodej stavebního pozemku 1 474 m²,"Holany, okres Česká Lípa",2 653 200 Kč,liberecky-kraj,beton,předměstí,,
Prodej domu 130 m² s pozemkem 155 m²,"P. Bezruče, Hejnice, okres Liberec",Cena na vyžádání,liberecky-kraj,řadový,smíšená,155 m,
Prodej domu 130 m² s pozemkem 155 m²,"P. Bezruče, Hejnice, okres Liberec",Cena na vyžádání,liberecky-kraj,řadový,smíšená,,130 m
Prodej domu 130 m² s pozemkem 155 m²,"P. Bezruče, Hejnice, okres Liberec",Cena na vyžádání,liberecky-kraj,řadový,smíšená,,
Pronájem bytu 2+kk 48 m²,"Lidická, Hrádek nad Nisou, okres Liberec",6 900 Kč/měsíc,liberecky-kraj,dobrý stav,cihlová,,
Pronájem bytu 2+kk 100 m²,"Růžová, Liberec - Liberec II-Nové Město",15 500 Kč/měsíc,liberecky-kraj,po rekonstrukci,cihlová,,100 m
Prodej stavebního pozemku 2 523 m²,"Holany, okres Česká Lípa",4 919 850 Kč,liberecky-kraj,,předměstí,,
Pronájem restaurace 231 m²,"náměstí 1. máje, Chrastava, okres Liberec",25 000 Kč/měsíc,liberecky-kraj,osobní,cihlová,,231 m
Prodej domu 99 m² s pozemkem 200 m²,"Stráž nad Nisou, okres Liberec",8 860 000 Kč,liberecky-kraj,osobní,cihlová,200 m,99 m
Pronájem bytu 2+kk 100 m²,"Růžová, Liberec - Liberec II-Nové Město",15 500 Kč/měsíc,liberecky-kraj,po rekonstrukci,cihlová,,
Pronájem restaurace 231 m²,"náměstí 1. máje, Chrastava, okres Liberec",25 000 Kč/měsíc,liberecky-kraj,osobní,cihlová,,
Prodej domu 99 m² s pozemkem 200 m²,"Stráž nad Nisou, okres Liberec",8 860 000 Kč,liberecky-kraj,osobní,cihlová,200 m,
Prodej domu 99 m² s pozemkem 200 m²,"Stráž nad Nisou, okres Liberec",8 860 000 Kč,liberecky-kraj,osobní,cihlová,,99 m
Prodej domu 99 m² s pozemkem 200 m²,"Stráž nad Nisou, okres Liberec",8 860 000 Kč,liberecky-kraj,osobní,cihlová,,
"Exkluzivně prodej garáže o ploše 25 m2, Česká Lípa, Vrchlického ulice","Vrchlického, Česká Lípa",455 000 Kč,liberecky-kraj,,,,
Pronájem výrobních prostor 260 m²,"U Kartounky, Česká Lípa",25 000 Kč/měsíc,liberecky-kraj,výrobní prostory,cihlová,6667 m,260 m
Pronájem výrobních prostor 250 m²,"Mařenice, okres Česká Lípa",25 000 Kč/měsíc,liberecky-kraj,osobní,cihlová,,250 m
Pronájem bytu 1+kk 55 m²,"Růžová, Liberec - Liberec II-Nové Město",10 000 Kč/měsíc,liberecky-kraj,po rekonstrukci,cihlová,,55 m
Pronájem výrobních prostor 260 m²,"U Kartounky, Česká Lípa",25 000 Kč/měsíc,liberecky-kraj,výrobní prostory,cihlová,6667 m,
Pronájem výrobních prostor 260 m²,"U Kartounky, Česká Lípa",25 000 Kč/měsíc,liberecky-kraj,výrobní prostory,cihlová,,260 m
Pronájem výrobních prostor 260 m²,"U Kartounky, Česká Lípa",25 000 Kč/měsíc,liberecky-kraj,výrobní prostory,cihlová,,
Pronájem výrobních prostor 250 m²,"Mařenice, okres Česká Lípa",25 000 Kč/měsíc,liberecky-kraj,osobní,cihlová,,
Pronájem bytu 1+kk 55 m²,"Růžová, Liberec - Liberec II-Nové Město",10 000 Kč/měsíc,liberecky-kraj,po rekonstrukci,cihlová,,
Prodej zahrady 202 m²,"U Obrázku, Liberec - Liberec XIV-Ruprechtice",590 000 Kč,liberecky-kraj,202 m,osobní,,
Prodej bytu 5+kk 181 m²,Praha,44 900 000 Kč,praha,dobrý stav,smíšená,,181 m
Prodej bytu 5+kk 181 m²,Praha,44 900 000 Kč,praha,dobrý stav,smíšená,,
Prodej bytu 5+kk 204 m²,"V kolkovně, Praha 1 - Staré Město",Cena na vyžádání,praha,po rekonstrukci,smíšená,,204 m
Prodej bytu 5+kk 204 m²,"V kolkovně, Praha 1 - Staré Město",Cena na vyžádání,praha,po rekonstrukci,smíšená,,
Prodej bytu 4+kk 198 m²,"Helénská, Praha 2 - Vinohrady",Cena na vyžádání,praha,po rekonstrukci,smíšená,,198 m
Prodej bytu 4+kk 191 m²,"Helénská, Praha 2 - Vinohrady",Cena na vyžádání,praha,po rekonstrukci,smíšená,,191 m
Prodej bytu 4+kk 135 m²,Praha,29 500 000 Kč,praha,dobrý stav,smíšená,,135 m
Prodej bytu 4+kk 198 m²,"Helénská, Praha 2 - Vinohrady",Cena na vyžádání,praha,po rekonstrukci,smíšená,,
